room_id,request_time,server_begin_time,server_over_time,serve_time,fan_speed,fee
101,2023-12-07 14:58:56.291433+00:00,2023-12-07 14:58:06.099679+00:00,2023-12-07 14:58:56.291433+00:00,5,high,6.249999999999995
101,2023-12-07 14:58:05.736631+00:00,2023-12-07 14:57:27.740150+00:00,2023-12-07 14:57:52.999421+00:00,2,high,1.2500000000000004
101,2023-12-07 14:58:05.724963+00:00,2023-12-07 14:57:27.740150+00:00,2023-12-07 14:57:52.999421+00:00,2,middle,1.2500000000000004
101,2023-12-07 14:57:27.740150+00:00,2023-12-07 14:57:27.740150+00:00,,0,middle,0.0
