room_id,request_time,server_begin_time,server_over_time,serve_time,fan_speed,fee
103,2023-12-07 14:58:59.022301+00:00,2023-12-07 14:58:47.355724+00:00,2023-12-07 14:58:59.021300+00:00,1,middle,3.6499999999999946
103,2023-12-07 14:57:48.190579+00:00,2023-12-07 14:57:31.153766+00:00,,2,middle,1.2
103,2023-12-07 14:57:48.180361+00:00,2023-12-07 14:57:31.153766+00:00,,2,high,1.2
103,2023-12-07 14:57:45.497276+00:00,2023-12-07 14:57:31.153766+00:00,,1,high,0.8999999999999999
103,2023-12-07 14:57:45.486071+00:00,2023-12-07 14:57:31.153766+00:00,,1,high,0.8999999999999999
103,2023-12-07 14:57:40.999043+00:00,2023-12-07 14:57:31.153766+00:00,,1,high,0.49999999999999994
103,2023-12-07 14:57:40.990026+00:00,2023-12-07 14:57:31.153766+00:00,,1,middle,0.49999999999999994
103,2023-12-07 14:57:31.153766+00:00,2023-12-07 14:57:31.153766+00:00,,0,middle,0.0
